Cam,BeforeAfterFire,NumberOfWildfires100Yrs,NumberOfPrescribedBurns,NumberOfFires100Yrs,YrsSincePreviousFire,HabitatType,DistanceNearestTown,DistanceNearestRoad,DistanceNearestFarm,Elevation,LocalPlacement,LandscapePlacement,TPI100,TPI1000,BurnTreatment,DistanceBurnEdge,NDVI100,PercentAreaBurnt,PreyActivityLargeMammal,PreyActivityMediumBird,PreyActivityMediumMammal,PreyActivitySmallBird,PreyActivitySmallMammal,RainfallPreviousYear,AvgNightsSinceBaited
9,1,3,0,3,36,2,7151,394,771,169,1,2,0.6,-16.3,1,0,0.69,0,26.39,0,4.17,0,0,709.11,38
10,1,2,0,2,36,1,6562,486,1664,154,2,2,1,-7.3,1,0,0.61,0,59.72,1.39,0,0,0,651.28,38
11,1,2,1,3,10,2,6066,411,2497,113,2,2,-0.2,-34.9,1,0,0.68,0,55.56,2.78,1.39,1.39,0,647.12,37
12,1,2,2,4,10,1,5568,420,3290,188,2,1,4.6,51.9,1,0,0.65,0,23.94,1.41,0,1.41,1.41,614.85,37
13,1,3,1,4,10,1,5103,711,3598,171,1,1,3.4,40.7,1,0,0.62,0,60.56,59.15,1.41,5.63,0,665.58,37
14,1,2,1,3,10,1,4595,774,3019,141,2,2,1.4,25.4,1,0,0.7,0,63.38,39.44,16.9,0,0,634.3,37
15,1,2,2,4,10,1,3696,404,2231,75,2,2,-0.6,-8.9,1,0,0.66,0,47.89,1.41,7.04,1.41,0,611.11,37
16,1,1,2,3,14,1,2799,380,1558,50,2,2,-2.2,-11.9,1,0,0.7,0,45.07,1.41,1.41,2.82,0,603.86,37
17,1,3,1,4,9,1,6309,64,1599,218,1,2,0.3,6.2,1,0,0.67,0,37.5,13.89,0,0,0,727.48,38
18,1,2,1,3,9,1,6091,116,1952,182,1,2,-4,-8.6,1,0,0.7,0,59.46,8.11,0,0,0,708.53,39
19,1,2,1,3,9,2,5524,93,2741,227,1,2,2.6,51,1,0,0.71,0,52.7,5.41,0,0,0,753.55,39
20,1,2,1,3,9,1,4834,51,3745,211,1,2,2.4,44.1,1,0,0.62,0,59.46,16.22,0,0,0,724.11,39
21,1,2,2,4,9,1,4390,77,3141,179,2,2,3.6,34.2,1,0,0.68,0,36.49,1.35,0,0,0,665.58,39
22,1,1,2,3,9,1,4046,118,2454,120,2,3,-3.4,-0.8,1,0,0.72,0,45.95,0,0,0,0,634.3,39
23,1,1,2,3,9,1,3749,318,1845,112,2,2,1.3,21.9,1,0,0.69,0,22.97,17.57,0,0,0,624.65,39
24,1,1,2,3,9,1,2888,145,1008,69,2,2,-0.2,-2.4,1,0,0.71,0,32.88,0,0,0,0,614.02,37
25,1,3,1,4,9,1,5321,75,2574,248,2,1,-0.1,28.4,1,0,0.73,0,38.89,2.78,0,0,0,780.68,38
26,1,3,1,4,9,1,4996,521,2615,222,2,1,1.5,14.4,1,0,0.66,0,42.03,7.25,1.45,4.35,0,764.06,36
27,1,3,1,4,9,4,4541,550,2676,137,2,3,-8.7,-48.2,1,0,0.73,0,118.84,2.9,0,14.49,0,677.05,36
28,1,3,1,4,9,1,4150,391,2782,179,2,1,1.8,26,1,0,0.63,0,52.05,1.37,1.37,0,4.11,660.79,38
29,1,2,1,3,9,4,3553,56,2665,56,2,3,-3.9,-59.8,1,0,0.76,0,89.04,1.37,1.37,9.59,15.07,634.01,38
30,1,1,1,2,9,1,3261,307,1951,125,2,1,4.1,35.1,1,0,0.63,0,49.32,1.37,2.74,0,0,653.7,38
31,1,1,1,2,9,1,3028,244,1193,70,2,2,2,-9.7,1,0,0.68,0,61.64,2.74,0,0,0,624.65,38
32,1,3,1,4,12,2,4200,115,1797,234,2,1,-0.2,27,1,0,0.74,0,37.68,4.35,0,0,0,739.22,36
33,1,3,1,4,9,1,3891,87,1824,228,1,2,1,41.2,1,0,0.66,0,84.06,14.49,0,0,0,730.01,36
34,1,3,1,4,9,1,3399,54,1876,208,2,2,0.1,50.5,1,0,0.6,0,50.72,8.7,0,0,0,639.44,36
35,1,1,2,3,9,3,2836,231,1800,108,2,2,0.1,5.1,1,0,0.71,0,49.28,0,0,0,0,660.22,36
36,1,1,1,2,9,4,2149,42,1329,24,2,3,0,-32.7,1,0,0.72,0,47.89,5.63,0,21.13,42.25,587.57,38
37,1,2,0,2,36,2,2591,26,904,88,2,2,-0.8,-27.3,1,0,0.71,0,8.33,0,0,2.78,2.78,626.79,38
38,1,1,0,1,36,3,2079,38,900,83,2,2,4.1,12.3,1,0,0.63,0,22.22,18.06,1.39,1.39,8.33,598.53,38
9,1,3,0,3,36,2,7151,394,771,169,1,2,0.6,-16.3,1,0,0.69,0,28.57,3.17,0,0,0,578.61,33
10,1,2,0,2,36,1,6562,486,1664,154,2,2,1,-7.3,1,0,0.61,0,39.68,1.59,3.17,3.17,0,533.43,33
11,1,2,1,3,10,2,6066,411,2497,113,2,2,-0.2,-34.9,1,0,0.68,0,23.81,0,9.52,3.17,0,531.02,33
12,1,2,2,4,10,1,5568,420,3290,188,2,1,4.6,51.9,1,0,0.65,0,36.51,3.17,0,7.94,9.52,498.08,33
13,1,3,1,4,10,1,5103,711,3598,171,1,1,3.4,40.7,1,0,0.62,0,26.98,63.49,3.17,4.76,1.59,539.45,33
14,1,2,1,3,10,1,4595,774,3019,141,2,2,1.4,25.4,1,0,0.7,0,58.73,7.94,6.35,6.35,4.76,509.52,33
15,1,2,2,4,10,1,3696,404,2231,75,2,2,-0.6,-8.9,1,0,0.66,0,23.44,12.5,0,6.25,0,487.27,34
16,1,1,2,3,14,1,2799,380,1558,50,2,2,-2.2,-11.9,1,0,0.7,0,4.69,17.19,1.56,3.13,1.56,479.91,34
17,1,3,1,4,9,1,6309,64,1599,218,1,2,0.3,6.2,1,0,0.67,0,36.92,4.62,0,4.62,0,602.68,34
18,1,2,1,3,9,1,6091,116,1952,182,1,2,-4,-8.6,1,0,0.7,0,44.62,0,0,0,0,582.4,34
19,1,2,1,3,9,2,5524,93,2741,227,1,2,2.6,51,1,0,0.71,0,26.15,18.46,0,0,0,610.19,34
20,1,2,1,3,9,1,4834,51,3745,211,1,2,2.4,44.1,1,0,0.62,0,55.38,13.85,0,10.77,3.08,586.88,34
21,1,2,2,4,9,1,4390,77,3141,179,2,2,3.6,34.2,1,0,0.68,0,41.54,0,12.31,1.54,0,539.45,34
22,1,1,2,3,9,1,4046,118,2454,120,2,3,-3.4,-0.8,1,0,0.72,0,30.77,6.15,0,0,0,509.52,34
23,1,1,2,3,9,1,3749,318,1845,112,2,2,1.3,21.9,1,0,0.69,0,35.38,13.85,0,0,0,500.01,34
24,1,1,2,3,9,1,2888,145,1008,69,2,2,-0.2,-2.4,1,0,0.71,0,18.46,9.23,0,1.54,3.08,490.11,34
25,1,3,1,4,9,1,5321,75,2574,248,2,1,-0.1,28.4,1,0,0.73,0,75.38,3.08,0,6.15,16.92,642.33,34
26,1,3,1,4,9,1,4996,521,2615,222,2,1,1.5,14.4,1,0,0.66,0,26.56,10.94,3.13,7.81,1.56,625.26,34
27,1,3,1,4,9,4,4541,550,2676,137,2,3,-8.7,-48.2,1,0,0.73,0,52.31,0,0,1.54,0,552.78,34
28,1,3,1,4,9,1,4150,391,2782,179,2,1,1.8,26,1,0,0.63,0,40,4.62,0,1.54,1.54,536.85,34
29,1,2,1,3,9,4,3553,56,2665,56,2,3,-3.9,-59.8,1,0,0.76,0,56.92,0,0,9.23,12.31,513.61,34
30,1,1,1,2,9,1,3261,307,1951,125,2,1,4.1,35.1,1,0,0.63,0,44.62,3.08,6.15,10.77,3.08,525.41,34
31,1,1,1,2,9,1,3028,244,1193,70,2,2,2,-9.7,1,0,0.68,0,106.15,0,1.54,3.08,0,500.01,34
32,1,3,1,4,12,2,4200,115,1797,234,2,1,-0.2,27,1,0,0.74,0,26.15,4.62,0,3.08,0,607.41,34
33,1,3,1,4,9,1,3891,87,1824,228,1,2,1,41.2,1,0,0.66,0,26.15,46.15,1.54,0,1.54,593.27,34
34,1,3,1,4,9,1,3399,54,1876,208,2,2,0.1,50.5,1,0,0.6,0,48.44,3.13,0,0,0,519.2,34
35,1,1,2,3,9,3,2836,231,1800,108,2,2,0.1,5.1,1,0,0.71,0,45.31,0,6.25,6.25,4.69,535.27,34
36,1,1,1,2,9,4,2149,42,1329,24,2,3,0,-32.7,1,0,0.72,0,26.15,0,1.54,30.77,32.31,474.52,34
37,1,2,0,2,36,2,2591,26,904,88,2,2,-0.8,-27.3,1,0,0.71,0,3.08,0,0,3.08,0,511.4,34
38,1,1,0,1,36,3,2079,38,900,83,2,2,4.1,12.3,1,0,0.63,0,6.15,10.77,1.54,12.31,3.08,485.86,34
9,2,3,0,3,36,2,7151,394,771,169,1,2,0.6,-16.3,1,686,0.69,0,18.46,1.54,0,0,0,578.61,34
10,2,2,0,2,36,1,6562,486,1664,154,2,2,1,-7.3,1,534,0.61,0,12.31,0,0,1.54,0,533.43,34
11,2,2,1,3,10,2,6066,411,2497,113,2,2,-0.2,-34.9,1,539,0.68,0,38.46,0,10.77,0,0,531.02,34
12,2,2,2,4,10,1,5568,420,3290,188,2,1,4.6,51.9,1,421,0.65,0,10.77,1.54,0,0,0,498.08,34
