Cam,Cam_Session,SessionNumber,Session,BeforeAfterFire,DateDeployed,DateCollected,DateLureRreplaced,SurveyLength,MedMarDet,MedMarNotDet,SmMamDet,SmMamNotDet,RooDet,RooNotDet,BandDet,BandNotDet,EchDet,EchNotDet,EchLR,SWDet,SWNotDet,CatDet,CatNotDet,FoxDet,FoxNotDet,NumberOfWildfires100Yrs,NumberOfPrescribedBurns,NumberOfFires100Yrs,YrsSincePreviousFire,HabitatType,DistanceNearestTown,DistanceNearestRoad,DistanceNearestFarm,Elevation,LocalPlacement,LandscapePlacement,TPI100,TPI1000,BurnTreatment,BurnSession,DistanceBurnEdge,FireSeverity,NDVI100,PercentAreaBurnt,PreyActivityLargeMammal,PreyActivityMediumBird,PreyActivityMediumMammal,PreyActivitySmallBird,PreyActivitySmallMammal,RainfallPreviousYear,AvgNightsSinceBaited
Site_cam_09,Site_cam_09_s1,1,s1,Before,29/09/2018,10/12/2018,29/09/2018,72,3,69,0,72,5,67,0,72,2,70,1,14,58,0,72,0,72,3,0,3,36,Lowland Forest,7151,394,771,169,Trail,Slope,0.6,-16.3,Unburnt,Unburnt_s1,0,Unburnt,0.69,0,26.39,0,4.17,0,0,709.11,38
Site_cam_10,Site_cam_10_s1,1,s1,Before,29/09/2018,10/12/2018,29/09/2018,72,0,72,0,72,0,72,0,72,1,71,1,29,43,0,72,0,72,2,0,2,36,Heathy Woodland,6562,486,1664,154,Bush,Slope,1,-7.3,Unburnt,Unburnt_s1,0,Unburnt,0.61,0,59.72,1.39,0,0,0,651.28,38
Site_cam_11,Site_cam_11_s1,1,s1,Before,29/09/2018,10/12/2018,29/09/2018,72,1,71,0,72,0,72,1,71,2,70,1,29,43,2,70,0,72,2,1,3,10,Lowland Forest,6066,411,2497,113,Bush,Slope,-0.2,-34.9,Unburnt,Unburnt_s1,0,Unburnt,0.68,0,55.56,2.78,1.39,1.39,0,647.12,37
Site_cam_12,Site_cam_12_s1,1,s1,Before,30/09/2018,10/12/2018,30/09/2018,71,0,71,1,70,0,71,0,71,1,70,1,13,58,0,71,0,71,2,2,4,10,Heathy Woodland,5568,420,3290,188,Bush,Ridgeline,4.6,51.9,Unburnt,Unburnt_s1,0,Unburnt,0.65,0,23.94,1.41,0,1.41,1.41,614.85,37
Site_cam_13,Site_cam_13_s1,1,s1,Before,30/09/2018,10/12/2018,30/09/2018,71,1,70,0,71,3,68,0,71,1,70,1,36,35,12,59,12,59,3,1,4,10,Heathy Woodland,5103,711,3598,171,Trail,Ridgeline,3.4,40.7,Unburnt,Unburnt_s1,0,Unburnt,0.62,0,60.56,59.15,1.41,5.63,0,665.58,37
Site_cam_14,Site_cam_14_s1,1,s1,Before,30/09/2018,10/12/2018,30/09/2018,71,10,61,0,71,0,71,4,67,4,67,1,31,40,1,70,0,71,2,1,3,10,Heathy Woodland,4595,774,3019,141,Bush,Slope,1.4,25.4,Unburnt,Unburnt_s1,0,Unburnt,0.7,0,63.38,39.44,16.9,0,0,634.3,37
Site_cam_15,Site_cam_15_s1,1,s1,Before,30/09/2018,10/12/2018,30/09/2018,71,5,66,0,71,4,67,5,66,2,69,1,24,47,2,69,1,70,2,2,4,10,Heathy Woodland,3696,404,2231,75,Bush,Slope,-0.6,-8.9,Unburnt,Unburnt_s1,0,Unburnt,0.66,0,47.89,1.41,7.04,1.41,0,611.11,37
Site_cam_16,Site_cam_16_s1,1,s1,Before,30/09/2018,10/12/2018,30/09/2018,71,1,70,0,71,0,71,0,71,1,70,1,21,50,1,70,3,68,1,2,3,14,Heathy Woodland,2799,380,1558,50,Bush,Slope,-2.2,-11.9,Unburnt,Unburnt_s1,0,Unburnt,0.7,0,45.07,1.41,1.41,2.82,0,603.86,37
Site_cam_17,Site_cam_17_s1,1,s1,Before,29/09/2018,10/12/2018,29/09/2018,72,0,72,0,72,7,65,0,72,1,71,1,17,55,4,68,5,67,3,1,4,9,Heathy Woodland,6309,64,1599,218,Trail,Slope,0.3,6.2,Unburnt,Unburnt_s1,0,Unburnt,0.67,0,37.5,13.89,0,0,0,727.48,38
Site_cam_18,Site_cam_18_s1,1,s1,Before,28/09/2018,11/12/2018,28/09/2018,74,0,74,0,74,3,71,0,74,3,71,1,31,43,9,65,2,72,2,1,3,9,Heathy Woodland,6091,116,1952,182,Trail,Slope,-4,-8.6,Unburnt,Unburnt_s1,0,Unburnt,0.7,0,59.46,8.11,0,0,0,708.53,39
